year,week,Distance,Pace_min_per_km,elevation_per_km
2018,1,9.85,5.106598984771574,34.27411167512691
2018,26,10.95,4.333504707756204,1.1446299320550817
2018,37,29.29,5.804990094117773,37.8018455671851
2018,38,15.79,5.850749419463797,49.81000633312223
2018,39,6.5200000000000005,5.196246385316961,6.559693351263482
2018,41,50.900000000000006,5.94729624111849,32.54256956748433
2018,43,7.56,4.029982363315697,16.03174603174603
2018,44,16.74,7.444245320589407,62.75388291517324
2018,45,33.61,6.61493619606421,15.200817347479614
2018,47,10.84,9.752460024600246,74.77859778597787
2018,50,25.369999999999997,7.526332807670702,45.078608917839475
2018,51,37.379999999999995,7.11065727645239,47.10793943510633
2018,52,37.89,5.7434845950330775,26.729211911508145
2019,1,44.59,5.414710690635505,27.029445011553705
2019,2,70.04,5.710760789744327,33.42448917012719
2019,3,47.54,5.751047492562041,27.367562323378138
2019,4,23.79,4.700226708035364,17.87510878201975
2019,5,58.97,5.523907971574861,18.149493317450318
2019,6,48.21,6.919670263627615,36.23397457043074
2019,7,52.03,6.099814965209009,29.626526083638108
2019,8,50.65,5.034970073530839,25.223322351189655
2019,9,58.6,6.09248991321541,35.47042145345961
2019,10,58.72,6.141775440876129,31.08394687665028
2019,11,67.21000000000001,5.734371762427638,28.407501632845065
2019,12,53.65,6.758862439061886,38.6695447711557
2019,13,67.51,6.132197665887965,24.264401597573492
2019,14,21.64,5.982747997535428,50.73012939001848
2019,15,33.65,6.125934185233672,21.539186756403296
2019,16,46.35,5.788173959564903,29.388730900948346
2019,17,50.230000000000004,5.489056251748389,25.853449904937463
2019,18,63.9,6.031426452270522,41.82500256280754
2019,19,54.15,5.276880350515656,21.669966924868888
2019,20,54.52,5.758178821258921,31.139437982066852
2019,21,51.33,5.480444052754668,11.335201499329113
2019,22,34.54,7.166297077392039,32.68742905632514
2019,23,30.6,4.959256619413426,1.2297393473215708
2019,24,59.17,5.458385892113345,23.190271654165258
2019,25,53.75,5.648685963305279,10.68830041510467
2019,26,22.14,5.495346735778806,37.55415162454874
2019,27,10.4,5.717948717948718,
2019,28,52.5,5.646094378577588,18.959078128636193
2019,29,54.71,5.613816281408411,8.554341114086615
2019,30,69.44,5.64267653175085,11.859259751850972
2019,31,39.089999999999996,5.404742984457726,15.841491708465028
2019,32,37.18,5.641407814177584,10.744724367273902
2019,33,50.24,6.3119757266527206,23.51746174790504
2019,34,13.38,5.657698056801196,32.88490284005979
2019,35,48.51,5.929595020778355,23.45840528504184
2019,36,37.45,6.492573379691721,10.546827296110502
2019,37,36.74,5.309268947378229,22.527606452233407
2019,38,34.82,4.436407162162785,11.775827143821742
2019,39,62.54,6.472185233377276,22.13075521098576
2019,40,58.089999999999996,7.075165546518783,28.487441367404422
2019,41,42.76,5.595849255666505,17.107543343415028
2019,42,22.189999999999998,6.66792446842516,5.341724785267019
2019,43,32.03,6.151970870808899,29.241425475932516
2020,14,17.13,6.258026853473439,35.61004086398132
2020,15,20.21,6.116608939468909,21.27659574468085
2020,16,17.25,5.460869565217392,24.17391304347826
2020,17,30.439999999999998,4.777970122730816,16.508087893648764
2020,18,19.7,5.0575296108291035,26.116751269035532
2020,21,24.68,4.487301199255729,17.598059188634913
2020,22,39.96,5.5602128921686855,30.74838994596541
2020,23,14.69,5.2240195838464025,16.37315059930185
2020,47,17.55,4.319088319088319,20.54131054131054
2020,48,48.79,5.578484033669749,37.0972173571812
2020,49,63.379999999999995,6.7823509938409225,35.0715480309726
2020,50,72.72,5.205173982772671,13.25588093543974
2020,51,27.509999999999998,5.8122409748837,12.716201059822302
2020,52,58.330000000000005,4.943611581221765,14.654867907866656
2020,53,38.3,4.7851815163846645,22.23552000676491
2021,1,83.13,5.837900701813096,23.430065974842545
2021,2,57.86,5.949343455079875,21.234806572233552
2021,3,70.76,5.580694473523458,21.99506662656472
2021,4,28.310000000000002,5.836376947436427,28.353276353276353
2021,14,72.84,5.037415099240037,18.81402602929259
2021,15,58.51,5.361867324705309,17.950122012500543
2021,16,35.68,5.189982306918509,18.42575209129736
2021,17,45.629999999999995,5.449295759648859,22.280476976237004
2021,18,40.28,5.36073867005575,11.812933451379669
2021,19,66.47,5.779240827004359,23.834939068565564
2021,20,46.72,5.5339037237467155,26.11426815328711
2021,21,29.560000000000002,6.317793002115035,38.72876233045724
2021,22,33.54,5.787943604949819,30.51655349154048
2021,23,56.02,5.39728575625502,16.514858862892012
2021,24,72.75,5.363381704588316,15.643967603731326
2021,25,58.69,5.423705819039428,28.655714468692913
2021,26,37.22,5.88571451954134,12.211647176038218
2021,27,42.43,5.508511267928963,20.231061109936913
2021,28,44.67,6.782341944907979,35.05980746732583
2021,29,60.85,5.618103528636352,24.901213965422926
2021,30,66.64,6.281907868500197,29.775553441242558
2021,31,27.68,5.847559571230433,29.698212571052096
2021,32,41.95,4.584046393589218,16.098410250164356
2021,33,46.43,5.7986196200362405,24.15918611609814
2021,34,64.12,6.060728807853762,29.35495673243337
2021,35,17.87,5.100123187913752,24.64797136038186
2021,36,84.65,5.874287459435581,32.50349463151347
2021,37,61.150000000000006,5.653826164349482,22.08210403179496
2021,38,87.77,6.365744957844474,20.808236486846685
2021,39,78.48,6.188687628219145,31.784868938642852
2021,40,69.1,5.767016867315349,20.547510622431123
2021,41,52.69,6.294337135417382,20.551527459502072
2021,42,41.08,6.574823106859198,39.6220867547556
2021,43,17.16,5.63034188034188,13.636363636363637
2021,50,22.52,4.778715216104203,33.80994671403197
2021,53,32.02,6.581709057266512,38.2155961864141
2022,8,45.379999999999995,6.225425967247105,47.119692143538785
2022,9,80.0,6.706493339744209,37.32161534458263
2022,10,76.57,7.399303523501139,43.65587169116976
2022,11,58.01,4.759796073898969,25.80247251648501
2022,12,70.56,5.524609150358364,29.166615196679846
2022,13,64.31,6.353418112002708,23.494546251058463
2022,14,41.75,6.404914966031964,44.48034752334141
2022,15,46.94,5.856856865401669,41.37645637621287
2022,16,67.81,5.900469672949372,25.022800016787404
2022,17,55.6,7.594681268140893,54.994838207997965
2022,18,87.04,7.148284312333951,45.94204724132297
2022,19,55.58,7.073205276292951,47.53079825521841
2022,20,70.89,7.006122609230329,39.38489832958959
2022,21,61.39,5.619662230366202,30.632996681526166
2022,22,77.45,6.797241283890803,30.547250793938122
2022,23,48.15,6.94021313038724,32.89065579282801
2022,24,52.14,6.66331862544308,46.29500894422652
2022,25,77.53999999999999,7.127058473298316,40.42220906634743
2022,26,85.16,6.764669383348886,44.32776166182297
2022,27,81.39,6.480435038501615,41.876666042541935
2022,28,55.11,6.3885093897322855,34.64248899335902
2022,29,71.75,7.489053816597938,44.43482317124294
2022,30,36.42,5.396091924906415,26.745135764345427
2022,31,44.64,5.312342271569738,33.760808414304904
2022,32,57.84,5.51706030234181,20.449092228681277
2022,33,63.65,7.4453015689832265,51.77180449084212
2022,34,26.59,7.646040597769513,30.12355632804004
2022,35,44.75,6.819256384147875,37.46440157778322
2022,36,75.09,7.1751210130115455,41.674116230215375
2022,37,68.22,6.767575304028914,30.76943202770294
2022,38,70.71000000000001,7.5368907137279715,48.93310546544625
2022,39,90.23,7.014343142586232,41.21059824537974
2022,40,18.490000000000002,6.781157711156872,17.96477060485609
2022,41,12.52,8.722409692847423,39.19978127626929
2022,42,28.61,8.815683519412085,49.83250432886418
2022,43,33.57,inf,64.22149859475844
2022,44,10.99,10.110371682411156,31.510290148448043
2022,45,43.52,6.170202073068714,33.728051312691655
2022,46,17.23,8.319044840172218,49.24491853783137
2022,47,55.32,5.794560183574661,36.43048962750767
2022,48,60.370000000000005,6.224939829033529,42.307195556977526
2022,49,36.71,inf,49.125408908247536
2022,50,55.86,6.106595402190569,41.44449464550102
2022,51,47.56,8.08291713708821,44.76573180093137
2022,52,67.63,5.874167816396439,30.046140557850983
2023,1,82.35000000000001,11.271542119353152,55.42067938331181
2023,2,102.08,inf,23.38025335179609
2023,3,85.71000000000001,6.863801530257444,47.43197416038742
2023,4,38.7,6.9054646028205084,34.04490569984197
2023,5,47.900000000000006,6.9084882010184705,51.15005782818255
2023,6,84.89,7.597895904486395,42.80051206524447
2023,7,91.12,7.363475242072611,45.140490772113765
2023,8,77.32,6.6932430424860065,44.94689330947832
2023,9,81.54,7.098789776908263,44.899815838242546
2023,10,82.7,6.316564786992597,28.027595815804563
2023,11,93.37,6.144485701571049,34.91520409530791
2023,12,74.75,6.453388081143779,36.53038086065208
2023,13,50.870000000000005,6.075727992587494,28.008906759342285
2023,14,44.51,7.454494158638681,38.95871278039282
2023,15,75.32,5.653252601900001,29.472119217513725
2023,16,85.61,6.479943190159115,39.25071509358788
2023,17,55.55,6.061766840607978,30.096415941647102
2023,18,53.39,6.804783006628786,30.86426705658633
2023,19,63.61,6.289261538468055,30.805401470345725
2023,20,67.41,6.180358856379239,44.419618190754214
2023,21,67.2,6.841433549366442,44.13317035768876
2023,22,13.58,7.7552773686794305,43.22533136966127
2023,23,56.47,6.888972333839344,53.27616257759937
2023,24,58.17,7.3192353982014495,52.06836247030727
2023,25,63.83,7.183944376735404,42.251144193388015
2023,26,28.75,6.898160648122683,46.33971139561823
2023,27,30.66,7.040714789556016,54.941432701328246
2023,28,28.41,6.174525559937422,51.224928551876815
2023,30,6.77,6.735598227474151,40.398818316100446
2023,31,23.66,10.684824401419768,66.37868358178217
2023,32,25.5,13.651221973382961,74.97588400252937
2023,33,17.13,7.564055774209712,39.4650552924713
2023,34,66.48,5.805290646587513,27.738632369315425
2023,35,57.76,6.1629321009370015,32.35764542130163
2023,36,66.23,6.147705903291614,33.959958370459454
2023,37,60.69,6.394226658205279,36.03514678551239
2023,38,86.67,6.145931394836762,35.36398901970648
2023,39,72.80000000000001,5.817574300034513,28.97009310936728
2023,40,99.02,5.832650569504551,30.193594957938284
2023,41,90.06,6.5616927378089365,37.538202997148225
2023,42,65.25,6.092176077742491,29.375654214945776
2023,43,36.43,5.756751711102655,27.27571525870261
2023,44,71.0,7.619913635090502,67.57496352239251
2023,45,76.88,6.311512274678265,39.54787836075669
2023,46,76.94,6.194261179676859,39.05931454415215
2023,47,83.67,6.458780035325334,38.611704000466226
2023,48,65.55000000000001,6.283238001414186,37.84169460579833
2023,49,55.9,6.538590752793685,41.28221345874213
2023,50,21.59,6.476510051226695,32.27210749083885
2023,51,9.38,7.43958777540867,44.989339019189764
2023,52,51.79,9.088654469125254,70.15928237323654
2024,1,12.43,10.30034861893269,82.7835880933226
2024,2,74.66,6.326131825852625,35.695384362636574
2024,3,78.15,6.72685341712743,47.95047146900867
2024,4,81.42,6.488361861536507,37.61551937241917
2024,5,81.26,5.900134487706133,33.56246570439762
2024,6,88.84,inf,40.49316491102676
2024,7,87.96,6.713402361578478,37.246485333260885
2024,8,87.38,5.663431064384049,26.672980923529245
2024,9,96.00999999999999,6.45607438240452,28.79168362717414
2024,10,69.12,6.9523228887173545,34.612232945612995
2024,11,83.95,5.683364049633382,21.233615287874873
2024,12,87.12,7.11178301493781,36.38030731791971
2024,13,77.67,6.711000509548598,34.67489018888123
2024,14,57.379999999999995,6.330178323238348,21.918524457907356
2024,15,37.150000000000006,7.258403565211473,36.958174286216156
2024,17,36.910000000000004,6.348344080501077,11.564239126491614
2024,18,64.18,5.651229664368376,17.00218666066492
2024,19,59.239999999999995,5.900532210893766,16.85820667448088
2024,20,87.22999999999999,5.695086549055469,17.847639178200232
2024,21,58.68,6.302707593013305,24.57043839317676
2024,22,30.4,7.327147458351146,27.870280311521718
2024,23,23.16,6.542194594048422,17.229243827134123
2024,24,36.44,6.743333291516125,34.22895339890272
2024,27,5.71,5.91652072387624,6.304728546409807
2024,31,64.26,14.603279350496349,45.71807922725291
2024,32,18.1,11.147791353383457,2.325344611528822
2024,33,11.77,7.325300827576904,46.00176305673574
2024,34,42.010000000000005,7.108187247879047,28.067329811815277
2024,35,22.82,6.145256060949937,12.757757222859482
2024,36,34.900000000000006,6.7143539246879556,22.06807183258529
2024,37,33.21,7.818121370723288,43.48086057744534
2024,38,73.56,11.325205833452811,30.299675545709924
2024,39,57.97,7.82289771801598,42.37680104997779
2024,40,94.33,7.437388984173866,31.437026016950682
2024,41,61.9,7.975546774576599,52.567812487348945
2024,42,66.26,6.350684468805005,29.547483688759616
2024,43,11.69,7.025777364952388,19.659387459796918
2024,44,72.61,6.392252755559984,41.02323241658775
2024,45,68.03,6.782656617829993,40.25578904296057
2024,46,83.46,6.167420239086838,36.534186452688125
2024,47,48.34,6.033083760473375,29.437624596288384
2024,48,14.72,5.953390299209115,16.807283889165422
2024,49,8.99,9.860804788733375,14.821154187876951
2024,50,34.18,6.021342204837888,15.005089136402162
2024,51,45.49,5.948371983643292,18.912655580261713
2024,52,9.46,5.199083861874558,18.604651162790695
2025,1,51.63,8.785622028017219,43.96208984603756
2025,2,63.77,6.283630188421598,27.8972469341505
2025,3,40.46,5.521815086489316,28.188204156337864
2025,4,29.82,7.160239072162977,34.891004547822966
2025,5,47.79,8.92476547229027,50.36214306468479
2025,6,16.11,7.467568146471843,51.5736317156986
2025,7,54.07,7.307496974989283,46.41790779723774
2025,8,18.4,6.742259499002735,38.053494760606156
2025,9,33.08,7.806756566673143,64.46580917496428
2025,10,24.51,7.57747976142362,36.94565896314803
2025,11,34.91,7.3222884682332685,55.727751033150184
2025,12,41.91,8.017658160181904,54.91674479453845
2025,13,36.59,7.413374477211021,52.45330514520151
2025,14,27.869999999999997,7.529720791857377,42.13256555304533
2025,15,17.66,6.912728055515295,32.41576701429995
2025,16,45.540000000000006,6.1441947095776355,26.28406176394637
2025,17,12.13,5.643033800494641,39.98351195383347
2025,18,37.55,7.796220953551187,37.44047147374857
2025,19,48.2,7.9720136260404075,41.647111645956336
